text,label
Driver cancelled last min 😑 bro,negative
He drove too fast!! 😤 tbh,negative
Driver was okayish idk,neutral
Driver kept using phone while driving,negative
Ride was okay nothing special,neutral
Terrible experience overall,negative
"Reached on time, great experience! lowkey",positive
"Reached on time, great experience! idk",positive
Top class service 👌,positive
Driver was okayish tbh,neutral
Driver was quiet but okay,neutral
Driver was quiet but okay,neutral
"Reached on time, great experience! bro",positive
Driver was okayish,neutral
Awesomeeee ride bro 💯 ngl,positive
Driver cancelled last min 😑 lowkey,negative
Great driving skills fr bro,positive
Driver was quiet but okay,neutral
Ride was okay nothing special,neutral
Driver did his job,neutral
Awesomeeee ride bro 💯,positive
Completely unsatisfactory trip lowkey,negative
He drove too fast!! 😤 idk,negative
Driver was very polite and helpful 😊 idk,positive
Super smooth braking and acceleration,positive
Driver came on time,neutral
Very calm and responsible driving,positive
Ride went as expected,neutral
Trip was alright 👍,neutral
"Smooth ride, felt safe the whole time",positive
Such a nice experience ngl,positive
Driver was rude and arrogant 😡,negative
Driver did his job,neutral
Ride was okay nothing special idk,neutral
Reached safely,neutral
Nothing unusual during trip,neutral
Super smooth braking and acceleration,positive
Great driving skills fr,positive
Trip completed successfully,neutral
Honestly one of the best rides,positive
Driver was super friendly and chill 😎,positive
Very unprofessional behavior,negative
He drove too fast!! 😤 ngl,negative
It was normal fr,neutral
Amazing trip overall ✨,positive
Driver was patient and cooperative fr,positive
It was manageable,neutral
Professional and respectful driver,positive
Trip was alright 👍,neutral
Very bad service,negative
Ride was okay nothing special,neutral
Great driving skills fr,positive
Car was dirty and smelly 🤢 ngl,negative
Very unprofessional behavior lowkey,negative
Totally satisfied with this trip,positive
It was just fine,neutral
Driver was rude and arrogant 😡 ngl,negative
No issues faced,neutral
Trip was alright 👍,neutral
Super smooth braking and acceleration,positive
Super disappointed with this ride lowkey,negative
Reached safely,neutral
Reached safely,neutral
Ride was okay nothing special,neutral
Such a nice experience ngl,positive
Worst ride ever,negative
Awesomeeee ride bro 💯,positive
Awesomeeee ride bro 💯,positive
Top class service 👌,positive
He was careless and distracted idk,negative
Terrible experience overall ngl,negative
"Loved the ride, 5 stars ⭐⭐⭐⭐⭐",positive
Driver was super friendly and chill 😎,positive
Amazing trip overall ✨,positive
Great driving skills fr,positive
Such a nice experience ngl,positive
Trip completed successfully,neutral
Driver was quiet but okay lowkey,neutral
Reached safely,neutral
Trip was alright 👍,neutral
Driver was shouting on call,negative
Decent ride,neutral
Braking was harsh and scary idk,negative
Everything was standard,neutral
Driver was very polite and helpful 😊 idk,positive
